salah,benar
kbuthn,kebutuhan
kecantikn,kecantikan
innerbeauty,kecantikan dari dalam
interbeauty,kecantikan dari dalam
kcepirit,kecepirit
ketchil,kecil
kecil2,kecil kecil
kdapan,kedepan
kdua,kedua
ke6,keenam
kharmonisan,keharmonisan
khidupan,kehidupan
keitung,kehitung
kehujut,kehujat
keinget,keingat
kjedot,kejedot
mbrebes,kejer
surprice,kejutan
suprise,kejutan
surprise,kejutan
the power,kekuatan
birth,kelahiran
kelaminya,kelaminnya
klp,kelapa
kpl,kelapa
kluatan,kelautan
kledai,keledai
klyatan,keliatan
keliatan,kelihatan
kelihatann,kelihatan
klhtn,kelihatan
kliatan,kelihatan
nampk,kelihatan
keliatannya,kelihatannya
brojol,keluar
kluar,keluar
out,keluar
"kluar""",keluar keluar
family,keluarga
kel,keluarga
kel.,keluarga
kelrga,keluarga
keluargaaaaaa,keluarga
klg,keluarga
klrg,keluarga
kluarga,keluarga
kluargaa,keluarga
broken home,keluarga tak utuh
kluarganya,keluarganya
kemanaa,kemana
kmana,kemana
kmn,kemana
kmna,kemana
kemana2,kemana mana
kemanamana,kemana mana
kmrn,kemaren
kemaren,kemarin
kmrin,kemarin
kmbali,kembala
kmbaliiiii,kembali
kmbli,kembali
kempes,kempis
kene,kena
kenall,kenal
kenp,kenapa
knapa,kenapa
knp,kenapa
knpa,kenapa
napa,kenapa
ngapa,kenapa
knpasi,kenapa sih
kenceng,kencang
kencenng,kencang
ngenceng,kencang
kendoooor,kendur
kendor,kendur
kendorrr,kendur
kentell,kental
kenyalll,kenyal
kpd,kepada
kpala,kepala
kpla,kepala
pala,kepala
pale,kepala
palanya,kepalanya
cuyu,kepiting
circlenya,kerabatnya
kramas,keramas
kerasss,keras
kras,keras
kerempengggg,kerempeng
krempengg,kerempeng
kece,keren
Kereeeeennnn,keren
kereeeen,keren
kereeennn,keren
kereeennnn,keren
kereen,keren
kereennn,keren
kerennn,keren
kerennnnn,keren
kerren,keren
kewrennnnn,keren
kren,keren
sughoii,keren
kriput,keriput
kiting,keriting
krj,kerja
bete,kesal
keslahan,kesalahan
kslhan,kesalahan
kslhn,kesalahan
kesampayan,kesampaian
my dear,kesayanganku
kesemptan,kesempatan
ksmptn,kesempatan
kesed,keset
ciduk,ketahuan
ketauan,ketahuan
ketauhan,ketahuan
merecet,ketat
ketawaa,ketawa
ktwa,ketawa
ktemu,ketemu
ktm,ketemu
ktmu,ketemu
ketek,ketiak
keteknya,ketiaknya
kenggak,ketidak
pas,ketika
ktimbang,ketimbang
ketipa,ketimpa
ktindih,ketindih
ngeleg,ketinggalan
katulistiwa,khatulistiwa
was was,khawatir
khodamm,khodam
qodan,khodam
flash back,kilas balik
flashback,kilas balik
fllashback,kilas balik
kira2,kira kira
kiraiin,kirain
kitaa,kita
kite,kita
kt,kita
our,kita
qt,kita
kocakk,kocak
ko,kok
koc,kok
kog,kok
koo,kok
koq,kok
kox,kok
kq,kok
kq,kok
colab,kolaborasi
kolap,kolaborasi
kolapp,kolaborasi
koleb,kolaborasi
comedy,komedi
koment,komen
coment,komentar
comment,komentar
komen,komentar
koment,komentar
kpi,komisi penyiaran indonesia
content,konten
k*nt*l,kontol
kintil,kontol
knt0l,kontol
kntl,kontol
kon***,kontol
qontol,kontol
kmtlnya,kontolnya
kontolny,kontolnya
korenggg,koreng
jember,kotor
cru,kru
crunya,krunya
kukomennn,ku komentar
kawalat,kualat
spek,kualitas
kuwat,kuat
strong,kuat
kuda2an,kuda kudaan
kudana,kudanya
kudanyaaaa,kudanya
kuloah,kuliah
kunti,kuntilanak
krg,kurang
kurag,kurang
kuranggg,kurang
kureng,kurang
kerempengan,kurusan
kurusam,kurusan
k?t4ng,kutang
laa,la
lagih,lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
lg,lagi
lgi,lagi
lgii,lagi
toh,lagi pula
laaa,lah
laah,lah
lahh,lah
lahhh,lah
lh,lah
lha,lah
reborn,lahir baru
laen,lain
lakik,laki
laku2,laku laku
lamaa,lama
lm2,lama lama
subcribe,langganan
subscribe,langganan
aouto,langsung
auto,langsung
autoooo,langsung
labgsung,langsung
lgs,langsung
lgsg,langsung
lgsung,langsung
lngsing,langsung
lngsung,langsung
lsung,langsung
lntik,lantik
runnn,lari
latihn,latihan
lattihan,latihan
lbr,lebar
lebaar,lebar
kebat,lebat
lebaaat,lebat
lebet,lebat
lbh,lebih
lbih,lebih
lebi,lebih
legittt,legit
lakik,lelaki
lalaki,lelaki
lelakki,lelaki
prank,lelucon
lembaah,lembah
enyoy,lembut
ngebug,lemot
lenn,len
fullset,lengkap
copotttt,lepas
lwt,lewat
skip,lewati
liarrrrrr,liar
liet,liat
lyt,liat
lytnya,liatnya
licinya,licinnya
lhat,lihat
lht,lihat
liag,lihat
liat,lihat
liatt,lihat
liet,lihat
lihatt,lihat
liyat,lihat
loat,lihat
nampak,lihat
tengo,lihat
tengok,lihat
"lihat""",lihat lihat
liatin,lihatin
liatnya,lihatnya
liatnyaaa,lihatnya
liatnyaaaa,lihatnya
nengoknya,lihatnya
licah,lincah
lundungan,lindungan
lepet,lipat
lipetan,lipatan
lipet2,lipet lipet
logic,logika
hlo,loh
lho,loh
lhoo,loh
lohh,loh
lohhh,loh
loohhh,loh
loohhh,loh
looo,loh
local,lokal
longgarrr,longgar
launthee,lonte
lntee,lonte
lon,lonte
lont,lonte
lont*,lonte
lontheyyy,lonte
lonthi,lonte
lontie,lonte
lounteh,lonte
lounthi,lonte
kuar,luar
liar,luar
busyet,luar biasa
lubagx,lubangnya
lucinnga,lucinta
lucita,lucinta
luloph,lucinta
LL,lucinta luna
gemoi,lucu
lucuu,lucu
mayan,lumayan
lp,lupa
lupaa,lupa
lupaaaa,lupa
moveon,lupa
mh,ma
maaaaaaf,maaf
maap,maaf
mff,maaf
sori,maaf
sorry,maaf
sory,maaf
maapkeun,maafin
mcm,macam
mahh,mah
mahakaliii,maha kali
maen,main
maenn,main
main2,main main
make,makai
mkn,makan
mngknya,makanya
mahluk,makhluk
mkin,makin
mkn,makin
muaksaa,maksa
mksd,maksud
maksdnya,maksudnya
mksdnya,maksudnya
mall,mal
mlah,malah
mlh,malah
malem,malam
mlm,malam
mls,malas
maluu,malu
maluuu,malu
maluuuu,malu
maluuuuuu,malu
mlu,malu
malu2,malu malu
emak,mama
mam,mama
mamah,mama
mamak,mama
mamih,mama
mma,mama
emaknya,mamanya
mamaknya,mamanya
man,mana
manaa,mana
mn,mana
mna,mana
madnag,mandang
mndi,mandi
makok,mangkok
cute,manis
manais,manis
maniss,manis
cutenya,manisnya
manjah,manja
manjahh,manja
hobah,mantao
mantaaabbb,mantao
joss,mantap
maaantap,mantap
madep,mantap
maknyus,mantap
mantaaaaapppp,mantap
mantaaap,mantap
mantaapp,mantap
mantaappp,mantap
mantab,mantap
mantanbb,mantap
mantapp,mantap
mantapppp,mantap
mantep,mantap
mantup,mantap
matap,mantap
mntap,mantap
mntep,mantap
muantep,mantap
mantul,mantap betul
mnusia,manusia
manyun2,manyun manyun
mrh,marah
maruah,marwah
mass,mas
ms,mas
msa,masa
masalalu,masa lalu
mslah,masalah
madih,masih
masi,masih
msh,masih
msih,masih
masing2,masing masing
masok,masuk
jejelin,masukkin
masa allah,masyaallah
masyaawohh,masyaallah
masyaawohhh,masyaallah
masyallah,masyaallah
masy,masyarakat
mate,mata
mta,mata
matakuu,mataku
matrek,matre
hoyong,mau
maoo,mau
mauk,mau
maw,mau
mo,mau
mw,mau
bak,mb
medsos,media sosial
metting,meeting
mgang,megang
mekiiiii,meki
melahirkann,melahirkan
melakukn,melakukan
nglamar,melamar
melebo,melebihi
boom,meledak
meledakss,meledak
"melet""",melet melet
melet2,melet melet
look,melihat
mlht,melihat
nheliat,melihat
ngeliatin,melihat
ngiatny,melihat
ningall,melihat
view,melihat
melihatx,melihatnya
ngeliatnya,melihatnya
ngeliatnyaaaaaaa,melihatnya
melonggo,melongo
mmng,memang
mmbantu,membantu
mmbyar,membayar
boring,membosankan
kemem,memek
M****k,memek
m*mek,memek
m3m3k,memek
mek,memek
mekke,memek
mem,memek
mem***,memek
mmek,memek
mmk,memek
hardisk,memori
memorynya,memorinya
update,memperbarui
ngezoom,memperbesar
ngezom,memperbesar
ngeperlihatkan,memperlihatkan
nunjukin,memperlihatkan
memprtontonkan,mempertontonkan
mepesona,mempesona
menangisssss,menangis
mantu,menantu
luessny,menariknya
naro,menaruh
searching,mencari
ngusel,mencium
mendakiii,mendaki
mendekem,mendekam
mendesahhh,mendesah
mening,mending
endorse,mendukung
endorss,mendukung
mndkung,mendukung
mnegur,menegur
nempel,menempel
menepok,menepuk
netes,menetas
menbagongkan,mengagetkan
mngajak,mengajak
ndlewer,mengalir
ngocorrr,mengalir
mrngandung,mengandung
parenting,mengasuh anak
say,mengatakan
menoncil,mengecil
mengnal,mengenal
mngenal,mengenal
mngenlmu,mengenalmu
kajong,mengeras
mengerasssss,mengeras
menggelegarrrr,menggelegar
mengunung,menggunung
madep,menghadap
ngadap,menghadap
ngejudge,menghakimi
men delet,menghapus
mnghargai,menghargai
ngasilin,menghasilkan
entertain,menghibur
ngehujatt,menghujat
follow,mengikut
follw,mengikuti
mengingatnua,mengingatnya
mnginspirasi,menginspirasi
mengirii,mengiri
ngeliat,menglihat
ngliat,menglihat
menglonthe,menglonte
nengsolnya,mengsolnya
munuk,mengurut
menikahimuu,menikahimu
mnit,menit
menitn,menitan
menittan,menitan
mnjadi,menjadi
mnjdi,menjadi
menjatuhkn,menjatuhkan
rujit,menjijikan
menjungjung,menjunjung
nonjol,menonjol
mentri,menteri
mntri,menteri
mentimunx,mentimunnya
nunjukkin,menunjukkan
show,menunjukkan
mentegdon,menurunkan
mnrt,menurut
mnrut,menurut
mnrtku,menurut aku
nenutup,menutup
mnyayangi,menyayangi
neyebutnya,menyebutnya
refresh,menyegarkan
refreshing,menyegarkan
nyesel,menyesal
brsa,merasa
feel,merasa
merasakanya,merasakannya
brand,merek
mreka,mereka
merka,mereka
mrk,mereka
ngerekam,merekam
ngeshoot,merekam
merendahkn,merendahkan
meronta2,meronta ronta
ngerugiin,merugikan
mrskipun,meskipun
musti,mesti
melenial,milenial
millenial,milenial
milyal,miliar
milyar,miliar
ngimpi,mimpi
mgg,minggu
min,minimal
mintak,minta
mnta,minta
request,minta
mimi,minum
mereng,miring
ketiplek,mirip
mrip,mirip
miriss,miris
mirissss,miris
mirisssss,miris
mobilll,mobil
moadal,modal
fashionable,modis
mon,mohon
moon,mohon
plis,mohon
pliss,mohon
plissss,mohon
moment,momen
mon***,montok
Montokkk,montok
montokkk,montok
Montokkkkkkkkkk,montok
montokkkkkkkkkk,montok
montoong,montok
montoxxx,montok
mooontok,montok
ntok,montok
motivasikuuu,motivasiku
mubazirr,mubazir
mdh,mudah
mdhan,mudahan
mudahkn,mudahkan
mugrim,muhrim
mupeng,muka pengen
mules,mulas
mulungg,mulung
mulusss,mulus
mulusssss,mulus
muluus,mulus
muluuuus,mulus
nonggol,muncul
nongol,muncul
mndur,mundur
kaleee,mungkin
mgkin,mungkin
mngkin,mungkin
mutah,muntah
musik,musik
musicnya,musiknya
usum,musim
mustahin,mustahil
napsu,nafsu
nahh,nah
nh,nah
naek,naik
nmnya,namanya
namabah,nambah
nancep,nancap
meweeek,nangis
mewek,nangis
mewekkkk,nangis
nagis,nangis
nangeeesss,nangis
nanges,nangis
nangess,nangis
nangiiiiissssss,nangis
nangiiis,nangis
nangiiiss,nangis
nangiiissa,nangis
nangiss,nangis
nangisss,nangis
nangissss,nangis
tarr,nant
nantii,nanti
nnti,nanti
nntin,nanti
ntar,nanti
nti,nanti
ntr,nanti
tar,nanti
nanyak,nanya
nnyak,nanya
narix,narinya
nsib,nasib
negative,negatif
nrgatifnya,negatifnya
negri,negeri
nene,nenek
Nyenyeeennnnn,nenen
nyenyeeennnnn,nenen
netijen,netizen
naceng,ngaceng
ngatceng,ngaceng
ngatjheng,ngaceng
ngakakk,ngakak
ngakakkkk,ngakak
ngpain,ngapain
ngada,ngarang
ngsih,ngasih
ngefens,nge fans
jungkelke,ngebalik
ngeborrr,ngebor
ngfans,ngefans
ngeflay,ngefly
njiplak,ngejiplak
ngledek,ngeledek
ngeliat,ngelihat
ngliat,ngelihat
ngiatnya,ngelihatnya
ngelon,ngelonte
ngelonthhhe,ngelonte
*we,ngentot
mgentot,ngentot
n.........t,ngentot
ngen,ngentot
ngen***,ngentot
ngen?,ngentot
ngeng,ngentot
ngengen,ngentot
ngennn,ngentot
ngenskuy,ngentot
ngent,ngentot
ngent**,ngentot
ngentit,ngentot
ngentod,ngentot
ngentott,ngentot
ngnt,ngentot
ngntod,ngentot
ngntot,ngentot
ngen-lah,ngentot lah
ngentenya,ngentotnya
ngrasain,ngerasain
ngeremmmsssss,ngeremas
ngeresss,ngeres
ngerii,ngeri
ngeriiiii,ngeri
ngerri,ngeri
ngertii,ngerti
ng*we,ngewe
nginge,ngiang
ngikuttin,ngikutin
ngiileerrrr,ngiler
ngilerr,ngiler
ngiluu,ngilu
ngiluuu,ngilu
ngemeng,ngomong
anyway,ngomong ngomong
btw,ngomong ngomong
ngmg,ngomongnya
ngmgnya,ngomongnya
ngopay,ngopi
niboss,nibos
euy,nih
euyy,nih
euyyy,nih
ey,nih
ne,nih
nh,nih
ni,nih
nich,nih
nie,nih
niee,nih
nihh,nih
nihhh,nih
nii,nih
niih,nih
niihh,nih
nuih,nih
nikah i,nikahi
nilmat,nikmat
enjoy,nikmati
niyip,nitip
nonggol,nongol
nntn,nonton
nnton,nonton
nontooon,nonton
ntn,nonton
nton,nonton
nobar,nonton bareng
nntnya,nontonnya
nntonx,nontonnya
nontonyaaa,nontonnya
ntnnya,nontonnya
nggu,nunggu
na,nya
ne,nya
nua,nya
nx,nya
ny,nya
nyaa,nya
nyaaa,nya
nyaaaaa,nya
nyaaaaaaaa,nya
nyah,nya
nyahh,nya
nye,nya
nyeeee,nya
nyh,nya
nyk,nya
nyo,nya
x,nya
nyawapres,nyalon wakil presiden
nyarii,nyari
nyariii,nyari
real,nyata
nylempit,nyelempit
nylempit,nyelip
"nyelip""",nyelip nyelip
nyosor,nyerang
nyimpen,nyimpan
nyosorrrr,nyosor
nysor,nyosor
nyusuk,nyusu
obt,obat
ohh,oh
ohhh,oh
ook,oh
ouw,oh
ok,oke
okee,oke
okey,oke
okinn,okin
olahragaa,olahraga
op,operasi
oprerasi,operasi
oplas,operasi plastik
oplasnya,operasi plastiknya
opyanya,operasinya
nyong,orang
oraaang,orang
orangg,orang
org,orang
orng,orang
odgj,orang dengan gangguan jiwa
orgtua,orang tua
ortu,orang tua
orgnya,orangnya
orngnya,orangnya
otaku,otakku
otaknyaudah,otaknya udah
pah,pa
paacr,pacar
pcr,pacar
pcran,pacaran
at,pada
pd,pada
pda,pada
pdahal,padahal
pdhl,padahal
pedahal,padahal
padet,padat
padetnya,padatnya
pa,pak
paa,pak
pacepak,pak cepak
pamuhidin,pak muhidin
makek,pakai
pake,pakai
pakek,pakai
pkai,pakai
pke,pakai
pkek,pakai
pakebajulah,pakai bajulah
pkaian,pakaian
pakein,pakaikan
palimg,paling
kawe,palsu
kw,palsu
majangin,pamerin
pmerin,pamerin
hareudang,panas
hoooot,panas
hot,panas
panaas,panas
puanaaaas,panas
pndang,pandang
call,panggilan
pamjang,panjang
panjak,panjat
pantess,pantas
pntas,pantas
pant***,pantat
pant*t,pantat
panta,pantat
panta*,pantat
pantet,pantat
panty,pantat
pntt,pantat
p'tat,pantat
p'tatnya,pantatnya
pantetny,pantatnya
pantqtnya,pantatnya
pantesss,pantes
pap,papa
papah,papa
papi,papa
papahnya,papanya
paarah,parah
parahhh,parah
pass,pas
plek,pas
fiks,pasti
fix,pasti
past,pasti
pazti,pasti
psti,pasti
pasginya,pastinya
payudarah,payudara
pebasken,pebasket
pembasket,pebasket
booming,pecah
care,peduli
perduli,peduli
respect,peduli
pegel,pegal
megang,pegang
pegaaang,pegang
pgang,pegang
perek,pelacur
pelajran,pelajaran
pelakuny,pelakunya
service,pelayanan
piaraan,peliharaan
plototin,pelototin
pelukk,peluk
ngekepin,pelukin
launching,peluncuran
player,pemain
pe.madangan,pemandangan
jongos,pembantu
westernisasi,pembaratan
cleaner,pembersih
opening,pembukaan
openingnya,pembukaannya
pilpres,pemilihan presiden
peminpin,pemimpin
enasaran,penasaran
penasanrn,penasaran
pinisirin,penasaran
pnasaran,penasaran
cabulers,pencabul
pandemiiii,pendiem
pengkuan,pengakuan
experience,pengalaman
peengampun,pengampun
intro,pengantar
intronya,pengantarnya
nganten,pengantin
engap,pengap
hengap,pengap
pemgawal,pengawal
pemgawalan,pengawalan
pen,pengen
pengennn,pengen
pennnnn,pengen
pgn,pengen
fans,penggemar
fens,penggemar
pens,penggemar
followers,pengikut
kpngennnnnnnnnm,pengin
pegen,pengin
pen,pengin
pengeeeen,pengin
pengen,pengin
pengn,pengin
pgen,pengin
pgin,pengin
pgn,pengin
pingin,pengin
pngen,pengin
pngin,pengin
pngn,pengin
pgnnya,pengin nya
penajara,penjara
flash sale,penjualan kilat
pnnton,penonton
viewer,penonton
pent*l,pentil
peting,penting
pnting,penting
full,penuh
nunjang,penunjang
cover,penutup
moodbooster,penyemangat
ppx,pepek
prasaan,perasaan
parawan,perawan
perwan,perawan
prawan,perawan
joom,perbesar
zom,perbesar
zoom,perbesar
zooooom,perbesar
prcya,percaya
pede,percaya diri
percyalah,percayalah
cewe,perempuan
girl,perempuan
prempuan,perempuan
prmpuan,perempuan
prmuan,perempuan
ukhti,perempuan
girlnya,perempuannya
perempuanny,perempuannya
go,pergi
event,peristiwa
prjlanan,perjalanan
perkaos,perkosa
treat,perlakukan
perligatkan,perlihatkan
prmintaan,permintaan
punten,permisi
perna,pernah
pernh,pernah
prnah,pernah
prnh,pernah
perorg,perorang
persiisss,persis
prsis,persis
prtanggungjawabkn,pertanggung jawabkan
pertontonkn,pertontonkan
perute,perutnya
perernak,peternak
fikiran,pikiran
pkiran,pikiran
fikiranku,pikiranku
pikirankuu,pikiranku
fikirannya,pikirannya
pikiranya,pikirannya
move on,pindah
klenger,pingsan
ping,pink
pinter,pintar
pisanggg,pisang
piscok,pisang coklat
plastic,plastik
plokk,plok
plookk,plok
podcas,podcast
point,poin
pkok,pokok
pokoke,pokoknya
pokoknyaaa,pokoknya
pokonya,pokoknya
ponii,poni
porn,porno
pornstar,bintang porno
posisi'a,posisinya
fositif,positif
positive,positif
pap,posting gambar
peria,pria
privat,pribadi
private,pribadi
princessx,princess nya
project,projek
prokes,protokol kesehatan
puass,puas
pulak,pula
plg,pulang
PP,pulang pergi
puncakk,puncak
pnya,punya
pnyk,punya
pu,punya
puny,punya
punyaa,punya
punyak,punya
puser,pusar
udel,pusar
udelnya,pusarnya
puyeng,pusing
puter,putar
putihhhh,putih
put**g,puting
put*ing,puting
son,putra
princess,putri
puteri,putri
harim,rahim
rakoes,rakus
r**e,ramai
rame,ramai
r**e2,ramai ramai
r**e2,ramai ramai
rmbut,rambut
weeg,rambut palsu
wig,rambut palsu
rambutny,rambutnya
rmbutny,rambutnya
meeting,rapat
rapet,rapat
rapih,rapi
asa,rasa
rsa,rasa
rasamya,rasanya
rasane,rasanya
rasanyaaa,rasanya
ratuu,ratu
ratuuu,ratu
ratuuuu,ratu
my queen,ratuku
rayaa,raya
reffles,refleks
reflek,refleks
reflix,refleks
religiii,religi
remes,remas
humble,rendah hati
rejeki,rezeki
rezeky,rezeki
riski,rezeki
rizky,rezeki
rezekinyaa,rezekinya
rezekix,rezekinya
makeupx,riasan nya
ribettt,ribet
realist,rilis
release,rilis
rimbuunn,rimbun
miss,rindu
rugiin,rugikan
rmh,rumah
rumh,rumah
sabaar,sabar
sabarr,sabar
sabarrr,sabar
nyadar,sadar
sobat,sahabat
ae,saja
aj,saja
aj,saja
aja,saja
ajaa,saja
ajaa,saja
ajah,saja
ajah,saja
ajahh,saja
aje,saja
ajh,saja
ajh,saja
ajj,saja
ajja,saja
az,saja
aza,saja
bae,saja
je,saja
sja,saja
wae,saja
wae,saja
z,saja
za,saja
ajadi,saja di
sangking,saking
atit,sakit
sakittt,sakit
kliyengan,sakit kepala
sakitnyaaa,sakitnya
slh,salah
saflox,salah fokus
salfok,salah fokus
salfox,salah fokus
salpo,salah fokus
salpok,salah fokus
slm,salam
sholat,salat
slt,salat
chanel,saluran
channel,saluran
salutt,salut
saluttt,salut
ama,sama
ame,sama
ma,sama
saama,sama
sam,sama
samaa,sama
sm,sama
sma,sama
smaa,sama
sambel,sambal
mbari,sambil
smbil,sambil
sampahh,sampah
ampe,sampai
mani,sampai
sampe,sampai
sampee,sampai
sampek,sampai
smape,sampai
smp,sampai
smpai,sampai
smpe,sampai
smpk,sampai
till janah,sampai surga
ampe,sampe
case,sampul
gih,sana
sanaa,sana
sono,sana
sndi,sandi
sangt,sangat
sgt,sangat
sngat,sangat
so,sangat
soswit,sangat romantis
soswitnya,sangat romantisnya
ange,sange
sagne,sange
san*ge,sange
sang*,sange
sangeee,sange
sangeeee,sange
sangek,sange
sanghe,sange
sangx,sange
sange aann,sangean
santay,santai
santuy,santai
dantun,santun
atu,satu
salome,satu lubang ramai ramai
salomeh,satu lubang ramai ramai
each other,satu sama lain
bro,saudara
sodara,saudara
ay,sayang
ayy,sayang
cyg,sayang
say,sayang
sayaaang,sayang
sayaang,sayang
sayangg,sayang
sayanggg,sayang
syank,sayang
syg,sayang
zheyeng,sayang
saimbara,sayembara
sbagai,sebagai
sbg,sebagai
sbgai,sebagai
sebelll,sebal
sabelah,sebelah
sbelah,sebelah
sblah,sebelah
sblh,sebelah
sebelaj,sebelah
sblm,sebelum
sbelumnya,sebelumnya
sblmnya,sebelumnya
sbnrnya,sebenarnya
sebenerny,sebenarnya
sebenrnya,sebenarnya
sbnr.y,sebenernya
sbnry,sebenernya
sebrnaya,sebenernya
bntr,sebentar
segede,sebesar
seblax,seblak
sdng,sedang
on focus,sedang fokus
trending,sedang tren
sedep,sedap
sdiakan,sediakan
sedi,sedih
dikit,sedikit
sdkit,sedikit
dikitlh,sedikitlah
"segala""nyaa",segala galanya
fresh,segar
seger,segar
segerr,segar
sueeeggeeerrr,segar
sebegitu,segitu
shrusnya,seharusnya
sehatttt,sehat
shat,sehat
sht,sehat
hist,sejarah
sekel,sekal
sekalai,sekali
sekalii,sekali
sekaliii,sekali
sekaliiii,sekali
sekaliiiiii,sekali
skali,sekali
skli,sekali
syekali,sekali
syekaliii,sekali
sekali2,sekali sekali
skalian,sekalian
sklian,sekalian
sekrng,sekarang
skarang,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
sekeluargaa,sekeluarga
skkrga,sekeluarga
skluarga,sekeluarga
sklwrga,sekeluarga
sketika,seketika
sekseeh,seksi
sekzi,seksi
sex,seksi
sexi,seksi
sexoy,seksi
sexsi,seksi
sexy,seksi
slagi,selagi
always,selalu
selalauu,selalu
selallu,selalu
selaluuu,selalu
selaluuuuuu,selalu
slaallluu,selalu
slalu,selalu
sll,selalu
sllu,selalu
slama,selama
congrats,selamat
congratulation,selamat
met,selamat
selaamt,selamat
selamattt,selamat
selamatttt,selamat
selamt,selamat
welcome,selamat
bay,selamat tinggal
bye,selamat tinggal
next,selanjutnya
slanjutnya,selanjutnya
selanjutnyaa,selanjutnya
slesai,selesai
slese,selesai
slruh,seluruh
smcm,semacam
making,semakin
mkin,semakin
mkinn,semakin
moveon,pindah
semngkin,semakin
smngkin,semakin
semalm,semalam
excited,semangat
semagat,semangat
semangaattt,semangat
Semangatssssss,semangat
semangattt,semangat
semgt,semangat
semngat,semangat
semngnt,semangat
smngat,semangat
smngt,semangat
smrg,semarang
sembab,sembap
sembrng,sembarang
ngumpetinya,sembunyiinnya
smenjak,semenjak
emoga,semoga
moga,semoga
muge,semoga
mugia,semoga
semog,semoga
semogaa,semoga
smg,semoga
smga,semoga
smoga,semoga
smogaa,semoga
semook,semok
semoook,semok
semoq,semok
semox,semok
semp4k,sempak
sempet,sempat
sempetin,sempatin
semprott,semprot
perfec,sempurna
perfeck,sempurna
perfect,sempurna
sempurnah,sempurna
smpurna,sempurna
kabeh,semua
semuaa,semua
semuaaa,semua
smua,semua
eperibadeh,semuanya
semuanyaa,semuanya
semuanyaaaa,semuanya
smuanya,semuanya
hapy,senang
seneng,senang
senenggg,senang
snang,senang
sneng,senang
senengin,senangin
senengnya,senangnya
sentiasa,senantiasa
snantiasa,senantiasa
sendirii,sendiri
sndiri,sendiri
sndri,sendiri
sengajaa,sengaja
sngja,sengaja
Sueeeggeeerrr,senger
cengar cengir,senyum senyum
all the time,sepanjang waktu
separoh,separuh
be like,seperti
bilek,seperti
orgil,seperti
seperto,seperti
sperti,seperti
sprt,seperti
sprti,seperti
sprty,seperti
spt,seperti
spti,seperti
bgini,seperti ini
spertinya,sepertinya
sprtinya,sepertinya
bilek,sepeti
serem,seram
seremm,seram
seremmm,seram
seremmmm,seram
seremmmmmm,seram
serbah,serba
serbuuu,serbu
seremmm,serem
srius,serius
asik,seru
asyiik,seru
asyik,seru
seruh,seru
seruuuu,seru
sesema,sesama
sesexi,seseksi
segugukan,sesenggukan
sesegukan,sesenggukan
setebel,setebal
pasca,setelah
stelah,setelah
every,setiap
stiap,setiap
tiap,setiap
stinggi,setinggi
pro,setuju
setjju,setuju
stuju,setuju
soleha,sholehah
siratu,si ratu
siaalan,sialan
sapa,siapa
sp,siapa
streaming,siaran
live,siaran langsung
c,sih
s,sih
sehh,sih
sh,sih
shi,sih
si,sih
sich,sih
sichh,sih
sie,sih
sihh,sih
sihhh,sih
sihhhh,sih
sii,sih
siihh,sih
siii,sih
siiii,sih
sik,sih
sixh,sih
ssi,sih
atitut,sikap
please,silakan
silicon,silikon
siliconnya,silikonnya
save,simpan
simpen,simpan
sokin,sini
somayy,siomai
sipp,sip
siru,situ
SR,skala richter
ndal,skandal
scandal,skandal
scandalmu,skandalmu
sg,snapgram
soalny,soalnya
soalx,soalnya
soal'y,soalnya
solnya,soalnya
koyak,sobek
sogrook,sogrok
sokk,sok
sombng,sombong
sopn,sopan
nyosorin,sosorin
special,spesial
sticker'y,stickernya
seticer,stiker
stickernya,stikernya
stress,stres
scrathmark,stretch mark
sretchmark,stretch mark
Strecmarch,stretch mark
strecmarch,stretch mark
strecmark,stretch mark
strecmart,stretch mark
streetmach,stretch mark
stretcmark,stretch mark
stayll,style
stile,style
suamiw,suami
suamina,suaminya
suaminyaaa,suaminya
swaminya,suaminya
sound,suara
vibes,suasana
mood,suasana hati
daah,sudah
dah,sudah
dah,sudah
dahh,sudah
dahh,sudah
dh,sudah
dh,sudah
idah,sudah
sd,sudah
sdah,sudah
sdh,sudah
sudagh,sudah
sudh,sudah
ud,sudah
ud,sudah
uda,sudah
uda,sudah
udah,sudah
udahh,sudah
udh,sudah
udh,sudah
udhh,sudah
ws,sudah
dejavu,sudah pernah lihat
dahhlah,sudahlah
dahlah,sudahlah
demen,suka
doyan,suka
like,suka
sukaa,suka
sukaaa,suka
Sukaaaaaaaaa,suka
sukak,suka
sukakkk,suka
syuka,suka
syukaaa,suka
success,sukses
suksesss,sukses
sukss,sukses
sumpaa,sumpah
sumpahh,sumpah
sumpahhhhh,sumpah
sunnguh,sungguh
spy,supaya
syurga,surga
hese,susah
cucu,susu
nenen,susu
ss,susu
susuu,susu
s*s*mu,susumu
cucunya,susunya
nenennya,susunya
susune,susunya
susunyaa,susunya
syar'i,syari
syuuurrrr,syur
td,tadi
nahan,tahan
tahaaaan,tahan
tahaaaann,tahan
tahann,tahan
than,tahan
tai,tahi
tau,tahu
tauuuuu,tahu
thn,tahun
tajem,tajam
atut,takut
tkt,takut
bmbah,tambah
plus,tambah
tamba,tambah
tmbah,tambah
