Komen,klasifikasi
Setelah gw liat penampakan ini gw percaya kalo dia itu cewe ??,0
"Maluu aku sebagai kaum hawa.. dia seorang laki"" tetapi mengumbarkan bagian dri pada kaum hawa???? miriss .. ya Allah..",0
GK punya malu ya.....bangga bgt Kya gitu ya....??,0
Uhh gantengnya,0
Cantik ya buratu bohay,0
Ditutup ya auratnya biar cantik luar dalam,0
Cantik bgt ratu??????,0
Mrip barby bgt kak????,0
Cantiknya ??,0
?? Post begini ga di tegur sama kpi ya,0
berpakaian lh yg pantas jgn menjatuhkn kaum wanita,0
Bunda auratmuu wkwk,0
Jadi inget film Moana ?????? gara gara lihat rambutnya ratu salome,0
Ratu kapan tobat nyaa,0
Iiii gini tu cantik bgt sumpahhhhh,0
Dosa ngga si liat bginiann.??,0
Bersabarlah wahai deterzen,0
Sehat sllu ratu ????,0
Artis juga ada Strecmart nya ya,0
gerang kali muka nya??,0
dosa lo rubah bentuk ciptaan allah??,0
posting yg aman2 aja dong ka... ??,0
Kaya princessx kartun itu nah y ampun cntiknya kk @lucintaluna_manjalita,0
Ratu kamu kok makin cantyik sih??,0
Kalah cantikk sama transgenderr ??@sukma_nngrm,0
IH CANTIK BGT????,0
Secantik cantiknya dia .. tetep aja dia bukan wanita tulen ..,0
Eh bnran udh d op,0
Tambah cantik,0
Turun drastis ya bund,0
Kk gisel tambah cantik ya?? hehe,0
Mukanya Kaya abg bangettt????,0
woow cantik ??,0
Gadis dari mana itu?,0
Kasusnya Apa Kabar? Bebas dari jerat Hukum?,0
Gisel masih kayak anak abege padahal udh punya anak gadis,0
Ttp semangat dan bersyukur...,0
Masih pada bahas perdetikan,0
Manisnya hidup tapi sayang,0
Pokoknya mbak gisel makin cantik aja,0
Sehat selalu andalanku,0
Biasakan PKe bju ketutup,0
Sabar aja kak Gisel dari hujatan org yg ngehujat Kk,0
Gisel kamu tuh salah ninggalin gading yang setia ke km,0
Spti 17 thn,0
Manusia yg tdk ada pusingnya..????,0
Manis SenyumNya cantik pula orangNya,0
Kayak abg lagi dong,0
Mantap mama ini,0
hai kak gisell apa kabar,0
Gisel saya suka,0
Janda memang selalu di depan,0
"Dear para pemberi harapan palsu, cinta itu nggak butuh alasan, tapi butuh balasan.",0
kaos nya bagus ????gisel_ la,0
Duh badannya tetep bagus ya,0
Kapan di adili sesuai dengan perbuatannya . Hukum sangat tumpul,0
astgfrullah untung sya blum nonton vidionya,0
Berhijab kayaknya lbh baik,0
Cantik bgt ka??,0
teteh gmna kbrnya??,0
Mantap banget mba gisel,0
Berdosa bngt kamu Gisel selingkuhi seorang suami,0
Baju ksos itu Bagus bgtt jg Cantiiiik??Gisel,0
"Cantiikk bangettt aslinyaaa kak @gisel_la, kmrn ketemu di kantor Vision ??????",0
???? mantap kaya ABG.????????,0
Orang putih & cantik kalo pake baju mulungg pun tetap kelihatan cantiknya ????????????,0
Awet muda ka gisel??,0
lebih nyaman sndiri ya bun,0
Cntik ya kakak pantas adem ngok nya,0
kerennn euyy..??????,0
Kaya anak SMA ih cantikk??????,0
"Jgn urus neraka dia, Surga blm tentu milik kita... slm santuy",0
Netijen pasti pikiranya kemanamana.klou Gisel posting potonya ????????????,0
Idola gue??????,0
Ya ampun apa yang merasuki pikiran ku....,0
Udah aktif ya bund,0
Makin cantik fens aku ??????,0
Bagus bgt iih,0
Mama iseeeel ngefans...sukaaa sukaaa ????@gisel_la,0
cakep bener ??,0
Wow..cewek manado emang cantik,0
"Masih imut,, ??",0
???? rahasia tampil trendy kakak,0
Cakep yah pake gini... Awet muda bgt ??ank gadis gih,0
mungil ya bun,0
Kenapa. 1 kesalahan selalu di ingat ??,0
Sejelek apapun masa lalu kita anggp aza itu Pelajaran buat Qt semua..Yg penting Niat & tindakan kita tuk memperbaiki & semakin mendekat/mengandalkan Tuhan itulah yg bisa membersihkan hal2 yg buruk ygbpernah kita alami..tetap semangat ..Tuhan maha Pengasih Penyayang & Maha peengampun...??????,0
Semagat mbak gisel jangan dengarkan kata orang  tuhan yesus memberkati,0
"Manusia gak yg sempurna bro, semangat terus gisel ??",0
Inilah wanita akhir zaman udah bikin kesalahan masih aja pamer body . Laknat dunia laknat akerat,0
"Kebanyakan orang liat dari sisi buruknya ya bun??, tanpa melihat sisi baiknya",0
"Semangat trus gisel_la,,",0
"Saya baca komen orang orang suci....merasa surga ini milik nene moyang mereka,,,, ingat bro.. kita kita ini manusia yang punya kslhn,,lbh baik perbaiki diri masing-masing",0
Tetap sehat selalu ??????,0
Tuhan memberkatimu. Tuhan akan megubahmu dng cara dia. Maju terus.,0
Tambah cntik aja,0
Ya allah koment2 nya bikin ngakak semua maafkan aa ya allah,0
semngat gisel gk usah didengar ocehan merka ..,0
wah kereen olahragaa rutin????,0
Stiker masih aman kan ya..,0
Hy kakak Gisel balikan lagi Ama gadingg,0
"Masih bisa dia iklan?an...senyum?,padahal dia udh ngelangkahin bui,harusnya masuk,tpi krn ini itu,bisa dia lepas...klo bukan artis,ga akan ngaruh tuh",0
gosel janda anak satu tpi madih cntik ya,0
Orang seperti gisel mah nga akan pernah punya malu bosqu,0
Enak kali ga dipenjara,0
Gak Penasaran lagi,0
"Ga malu apa yah,??",0
tambah cantik dk gisel,0
"Ya begini hukum di Indonesia,katany klu sdh ketauhan pelakuny...akan dipenjara,lah ini malah masih suka foto2...gak punyak malu banget ya,apa lg pnyk anak perempuan ??",0
Makin kece neng??,0
"Senyumnya terlihat ga Lepas..,Terlihat ada beban..",0
Wkwkw. Kok gk malu ya ????????.,0
KK Gisel tambah cntk aj kk,0
Jgn hakimi orgnya..hakimi perbuatannya...semoga berubah jd baik....kita manusia tdk luput dr Dr khilaf dan salah,0
Kok sprtinya kurusam bun,0
Netijen nya super duper ganas bikin ngakak kalo baca ????????,0
Semangat orahraga nya,0
Mulusss di suasana rakyat muslim lagi berpuasa di bulan suci ..ATITUT WOYYYY,0
"Indonesia......, Indonesiaaa ......, nenek yg cm nyuri singkong krn bnr"" miskin aja dipenjarain , lah ini..... , yg jls"" slh kq dibiarin keliaran,  apa biar makin liar kali ya ??",0
Boleh tuh ba gisel biar kurus??,0
"bukan hebat kayak gk punya masalah,,, tapi gak punya malu",0
Sepatu bagusy,0
"Selamat berbuka Gisel, sehat selalu tetap semangat ????????",0
Makin cantik aja??,0
Rajin berolahraga supaya tambah cantik.,0
Warga indonesia sangatlah resah akan durasi??,0
Uhh sayang akoh,0
"Kapan ya dipenjara msh pamer aurat mulu ni orang,hadeh.. ??",0
Rahasia tampil trendy kakak,0
"Ya allah,body yg sempurna...??",0
Penajara dulu lah gak adil,0
"Keren kaka @gisel_la  cantik.  Komentar yang menyindir ga usah di tanggapi.. mereka hanya  iri ??, semua manusia punya kesalahan loh.  Tobat aja masih d sindir2 , apalagi ga tobat ya ??????",0
"Menghujat lebih enak dari pada di hujat, sungguh kalian lah netizen yang terhormat",0
Teh gisel rajin olahraga,0
Malu nya sampai 7 turunan,0
Aura wajahnya ganas bnget..,0
Sepatunya keren mom.. ??????,0
Bln yg baik utk bertobat sel,0
Emang kamu sering olahraga,0
Bila rasaku ini rasamu kak Giselle????,0
Hebat kmuini mbaa...punya masalah...tapi kayak gk punya masalah.... Ngenfans saya ke mba gisel,0
Kerennn,0
Suksesss ka,0
Manis banget?? tetap semangat kak gisel,0
Biar apa kt org km tetap idolaku,0
Mulusssss,0
Kog bisa bening gitu y,0
Mulus cok,0
Ko jari manisS nya kosong tuh syank,0
Melintas di beranda. Ya sdh kukomennn aja,0
"Semangat,,,yg berlalu go",0
Putihhhh mulusssss,0
Putih banget kak??,0
"keren bet gelang na,,, besi putih k ???",0
Mulus banget..,0
Mantapp dach ??,0
Waw mbak Gisel mulus banget,0
Emang mantep sih,0
Keren sih ka kulitnya,0
"Woow,,Bening",0
Wow mulus amat  bagisel,0
"Bukan produknya mungkin yg bagus say. Tp krna km mmng sudah putih, brsih dr lahir ??",0
Gelangnya bagus ??,0
Wow indah nya,0
"Mantap beautiful Mba.Gisel,selalu perawatan tubuh...biar tetap segar ya.",0
Sempurna,0
ada gak penghilang bekas guratan luka dihati????,0
Beneran tuh bisa seputih itu,0
Enak ya klau punya duit hukum pun bisa di beli ??,0
Sabar ka Gisel ??,0
Putih amat yah gisel,0
Ko mlh yg komen pda ngacoo..,0
Jngan di bullyyy,0
"Poto gayak gini, gimana gak di serbu koment negatif trus, hilang urat malu mu",0
Putih banget ka,0
"Sehat selalu ya, Kak Gisel ??Yang membaca komentar ini, kami doakan sehat dan sejahtera senantiasa ya ??",0
Pd dasarnya kulitnya sdh putih-bersih...semakin kinclong ??,0
Cntikk bgttt ya ampunnn??,0
cantik.bgt @addilallah cuci mata beb dipagi hari,0
"My queen,shat shat terus yah kak",0
gk klhtn bekas2 jahitanya ya??,0
Aurotnya itu ketara apa tidak malu kok di posting ke Instagram,0
"Sekarang kan kamu udah merasa hidup kek perempuan.. aku penasaran mau nanya.. apa pernah kamu merasa malu saat berpakaian terlalu terbuka seperti itu? Krn kodratnya perempuan meskipun secuil pasti ada rasa malu saat mempertontonkan auratnya, apalagi kalau banyak yang ngelihatin.. gak bisa munafik sebagai perempuan pasti ada rasa malunya.. bagaimana denganmu @lucintaluna_manjalita",0
"Mo nangis, kalah body ya ampun ??",0
ya allah body nya ckep bgt w yang cwe kLah??,0
Beza betul badan lelaki dan perempuan.,0
"Kok kyk berbie banget Yach ,sumpah serbah montok kiraiin pakai pantat busa atau apalah,, ternyata asli banget",0
Bagusnya body kakak heheh iri aku,0
Ehh trxata cwek ?? slama ini aq salah paham .. maaf yaa ... Body cwek pun kalah Sexy gaess ??,0
Ko ga ada malu ente pke bikini bottoms??????,0
Aku sebagai cwe insinyur melihat ini??,0
Emg beda ya bentuk cew asli ma Yg oplas,0
"Pas pake baju buncit,pas gapake datar. Kayanyaaa hamil??",0
Auratt ??,0
Kak @lucintaluna_manjalita lebih cantikan kalo pake baju biasa? aja. Tapi lebih cantikan pake hijab kak??,0
Y alloh...mkin sini mkin merinding liat orng orng sprti ini....suka sedih,0
Cantik bngt kak,0
Rambutnya kak ??,0
Cwo gak pakai baju gpp si,0
Fans bgt ama kaka kapan bisa ketemu,0
Iri banged sama badan ka lun Bagus bangd??,0
Luna emang cantik banget asliii yg ganteng2 pasti kepincut,0
Diakui emang bodynya bagus bgt sih,0
Enak bgt musiknya ??,0
Nicki minaj kearifan lokal,0
Suka rambutnya seperti ini cocok bngt..,0
Cantik amat body kamu kak...,0
Yang cewek asli kalah mulus ini mah,0
Kaki ga bsa di boongin tetap kekar??,0
Kak Luna mirip Moana .,0
Cantik banget sumpah,0
Kata ny hamil,0
Katanya hamil ????kok masih rata tuh perut ??,0
Allah huakbar diapering gatakut azab,0
Otaknyaudah rusak ilang kalu waras pakebajulah yangsopan  rugag  rigik sprti kawalat dekatkiamat tobat,0
Ka bagi tips dong biar perutnya rata,0
Ngak bisa dibohongin to badan msih cowok bgt,0
Bahagia banget udah jadi wanita seutuhnya,0
Kemarin jadi hamil gak Om? Ditungguin warga Rt 5 nih.,0
"Asstagfirullah,asstagfirullaah,asstagfirullaah,ingat Azab Allaah bertaubatlah dunia sebentar menyesal kemudian hari tiada guna",0
Ka katanya lagi hamil jangan lompat2 dong,0
Heran yang bilang aurat aurat coba tegur cowok tetangga loe yang cuma pakai kolor keliatan puser puting pas cuci motor ??????????,0
Astaghfirullah pakai nya ya Allah nggk bisa apa di pakai yang lebih sopan gitu itu aurat Lo di perlihatkan banget,0
Bodi gol,0
Ya ampun mulus pisan?????? yg kuning,0
Ya ampun aurat ratu,0
Bagusan body dese drpd ane ??????,0
ratu benr cewe ya?? atau gimana,0
Rambutnya kyak moana,0
Pusing gw liatnya,0
Pengen deh kyk bgtu jga cuma takut d bully,0
Gw sebagai cwek malu masa??????,0
seneng bngettt ih,0
Mas gk takut dilaknat sama Tuhan ya maaf julid,0
Kok g da bekas op ne ya,0
aku seneng sm lucin krn lucu,0
??Apa yang terjadi terjadilah yang dia tahu Tuhan penyayang hambanya Apa yang terjadi terjadilah yang dia tahu hanyalah menyambung nyawa ??,0
Insekur perutnya rata bgt,0
Salut smaa lucinta aku aja yg cwe juga body nya ngg sebagus itu ??????,0
Harusnya kedepannya IG harus mentegdon video kek gini,0
Semakin dekat kiamat ??,0
Mantap kak lucinnga,0
Gak bisa komen apa2 cukup dilihat aja lah,0
Kok bisa ya,0
"Mantap bang luna, lanjutkan karyamu????",0
Gantengnya ratu @lucintaluna_manjalita,0
Bodygoal??????????????,0
Btw apa sih judul lagunya,0
masuk bui lg baru kapok pornograpi??,0
astafirulloh Ganteng bgt kekar badanya jadi naksir??????,0
astagfirullah ka istigfar jgn karena sakit hati merugikan diri sendiri  aset jgn dibuka bula nanti dapat suaminya gitu lagi gitu lagiiii,0
aurat mas e e,0
Dia adalah wanita yg pake bikini namun tidak akan pernah di cekal.. hidup ratuu????,0
Bagus banget sich body nya sampe iri akoh tuch ??????????,0
Duh body goal para wanita bangeet iri akuuuu ??,0
Beneran cewek ??,0
Gua dosa apa ngak ya,0
Keren??,0
Padahal kalo cowok gagah loh??,0
Badannya bisaa baguss gt yaa .. ??????,0
Kok kaku ya????????,0
Dulunya gw benci dan pengen aja gitu ngehujatt tapi skrg knp aku seneng liat dia y sampe2 iri liat badannya huaaaaa??????,0
Kece bgt??,0
Ini siapa sih yg ngevideo in.. bikin pusing,0
Aurat kenapa tidk ditutup,0
"Matakuu,,, bukan mukhrim ihh..",0
Ahli surga,0
Ko bsa ya d operasi aku bgung,0
Di hape ku buram kak.. maaf ya kak??,0
Kasian yg belakang ketutupan ??,0
geli tapi menghibur??,0
Juara ratu memang keren,0
suatu saat nanti kmu akn menyesal????,0
Mas2 Yg ad di blkg melonggo ap gmn ya.. Ngeliat kak Luna...??????,0
Khodamnya manjalita nih hbs putus cinta ??,0
Pasti yg ngevideo juga sambil joget2.. soalnya gr2 kameranya kpla ku jdi ikut mereng2 kak..????,0
"Jangan berlebihan lu, mau masuk bui lagi fatah?",0
jadi mirip pinkan mambo ya,0
Laki mah bebas ya,0
Dia wanita tulen ternyata????,0
"Hanya dia cwk yang tidak mendapat dosa, membuka aurat",0
Sexy bgt sih bund abis lahiran ya ??,0
rambut ratu baday sekali,0
Salfok sm Bpk? yg d belakang ??,0
Masyaallah cantiknya kapan punya body kayak kak luna??,0
Kok lucu ya liat dia.,0
Anjiiiirrr..... Body NY luessny ngalahin cw bneran????,0
Emg gpp dedek.bayinya dibuat loncat? katanya hamil,0
"Hahahahaha...laki"" dng eee...ttap aja tdk ada brubah",0
Kmrin kontennya religiii skrng buset,0
Aduh goyang patah patah??,0
Kok jadi kek mimi peri,0
Pokonya pngn jadi adenya ???? @lucintaluna_manjalita,0
"Gokil,,,,, booming nih tiktok kk????????",0
Mirip penyihir yang ngaku jadi ibunya Rapunzel kan?? @wulan.zaerah @hanifaowe,0
Sexi bangeeet tp maaf ak gak suka sm rambutnya.. keliatan jewigh hese di sisiran ????,0
Keren banget ihh suka rambut nya ratuuuu????????,0
Itu yg d belakang ratu kasian d tutupi gegara saking lincahnya ratu??,0
Cakep bgt bodyny,0
Asli penghuni neraka ini??,0
manusia telanjang di mata allah??,0
"Kok bisa ya gtu ,ga kliatan itunya maaf ya...Ttp semangat",0
"Ya Alloh Ratuuu, aurot ratuuu.. aku insekyurr loohhh bang Khodamm, ingatkan sang Ratu baanngg aurooottt ????",0
huuu goyangan nya kalah sama ciwiciwi diluar sanaa??,0
Lah ku kira nicki minaj??,0
Kok gk ditangkap polisi kayak yg ono.. ????,0
Gila body nya ratu d best,0
Hamilnya sdh selesai???,0
Dunia akhir zaman. Smoga d berikan ksmptn u brtaubat.,0
Hamilnya di cancle ???,0
Knpa berasa biasa aj ya melihat nya,0
Pusing ih kameramennn??,0
Masya Allah aurat nya bun di tutup loh itu ?? Allah tidak suka ??,0
Transgendre klsu udah kelewat laki nya kita perempuan mah kalah cuuyyy asli nya.?????? gila operasinya tingkat dewaa cuyy,0
"Kak bajunya kmana????,kok nggak di pakek kak????",0
Perfect bgt bdnya....gkda lemaknya SM Skali ????,0
Merasa gagal jadi cewek ??????,0
Cakep bgt woy,0
Badannya Kalah yg asli..,0
Badannya bagus,0
Uuuuu keren banget ??,0
Ratu yg joget tapi saya nutupin badan sendiri ??,0
merasa gagal sayanmenjadi wanitah??,0
"Aku ngeliat dia lucu bgt, auraa fositif",0
Mantab yunda sukakkk??????????,0
Kaku goyangnya masih keliatan cowok tulen.,0
Gak lama lagi di blacklist??????,0
Kek barbie,0
Wow sempurna sekali ??????,0
Kaya boneka Barbie ??,0
Takjub aku ??????,0
Pusing ntnnya. Kameramennya siapa sih??,0
Keren bgt iih.. momy ??????,0
"Berbie nya indonesia ya kak @lucintaluna_manjalita ..selalu menghibur , sehat selalu kak",0
Aurat mu buk,0
Kayak barbie mainan ku waktu kecil ??,0
"biarpun org berkata apa slagi gak ngerugiin aku ya oke oke ajja, aku malah syukaaa liat nya kak lucinta luna ????",0
Cantik weeg nya keren????,0
"Fixs, mahluk tuhan yg paling sexy ??",0
@cindi_clafatra @aery.febrianty astagaa kalah bodi kita nahh,0
Cewe tulen ajah pasti minder bgd....gila bodynya bagus bgd kalah aku mah,0
Salfok Itu bapa2 yang belakang ngeliatin bae wkwkkw,0
Pusing kamera nya a??,0
Bodo amat mah cowo/cewe. Lagian gue ga di rugiin. Konten nya gue suka aja sih. Lanjutin mas/mbak lucinta. Bingung mau manggil mbak/mas soalnya ya gitu dah lah mls bahas ny.,0
Rambut kiting kaya pacar nya si film moana??,0
Pusing kameranya,0
Bagusan juga body dia daripada kita oy?? @enzelinaaa @icinongggg,0
Mood banget ??,0
Rmbutny bgusan lurus,0
Memang yang seksi tuh ratu satu ini??,0
paarah cutenya kaka??,0
Kameranyaa ihh bikin pusing??,0
Gilaa body nyaaa,0
Centik bengit??,0
Menghibur??????,0
@ilhamhandani body nya bikin iri,0
Itu rambutnya di kasih apa kak kok bisa tiba2 lebat gitu .abgi obatnya duunk????,0
Ratu makin lama makin berisi badannya,0
yg penting pede ya kan??,0
Gue gagal jd cewe??,0
Ratu udah kaya barbie,0
"Udah keguguran ya kak, perutnya tipis bed??",0
Jir bagus bed bodi nya.kayak gitar bulele,0
"Sehat , lancar rezeki dan sukses yaa ratu salome @lucintaluna_manjalita ????",0
@angga_suwardi lucu banget yaa @lucintaluna_manjalita sekarang namabah cantik juga,0
Ini stres karna ppkm ya mas?,0
Gw malah fokus ke mbak yg di blkg kesian ga keliatan??,0
Sumpah kaya barbie hidup ka??,0
Lah hamilnya ilang kemana? Apa udh melahirkan,0
keren loh ????,0
Kayak barbie hitem????,0
Aku yg perempuan tulen lah jd insekyur??,0
Pusing goyang bgt hpnya,0
Semangat ??????,0
"Iya saya tau makanya setiap pandangan org  kn beda""",0
"Bukan nya kurang jauh tapi punya mata dilihat, punya telinga di dengar aja??",0
aduh kak @lucintaluna_manjalita malam malam liat ini kd ikutan joged2...menghibur sekaliii ????,0
Seketika gue yg prempuan tullen jdi insicure liat bodynya ??,0
yg ngeshoot pusing kliyengan. yg nonton minum paramex,0
"model nya bagus, gerakan nya dah oke. kameramen nya yg gak oke. yg ngerekam kek lg dapet aja??",0
Kerennnnn??????,0
Yah kamera nya bikin pusing. Jdi gk fokus ngeliatnyaaaaaaa,0
Istighfar ngapa sii ampun,0
Kerennnnn??,0
"Cewe asli kalah nih,body goals,mulus,cantik,lucu??",0
Kak luna aku ngefans ??????,0
Aurat bukan itu????,0
Yang kuning cewe betul??,0
Suka kali liat  ny????,0
Duhh bodynya ????,0
Anaknya kemana katanya hamil?,0
Woyy matanya di jaga????,0
Ya allah bodynya bikin kaum hawa menangis????????????,0
Mulus skli OPyanya gk ada bekas OP sm skli,0
"Kbanyakan shake kmra y,, malah puyeng.. ttp smngat bg ..",0
Body nya bagus banget??????????????????,0
Cantik bgt??????,0
awas lgi musim boikot bukkk,0
Numpang tanya lucinta ko perut ny lngsing bukan ny sedang hamil yah ??,0
"Y allah,sampe segitunya cara berpakaian??,,",0
Body goals ????,0
"@alyasofialacubaa apalah daya badan kita yg msh muda ini,, insecure ih??",0
Aneh yang post yang bgini2 kok ga di blok ama pihak IG,0
Pengen tutorial joget nya dong plis ratu,0
Kak lucinta body goals banget sukaa ??????,0
"Yg dlm pikiran gw tiap liat dia"",itu yg dlnya cow bs secantik itu,sesexi itu..tp apa kabarnya kita yg cew tulen..tp ttp aja,segala sesuatunya kembali pd yg nmnya duit,,??",0
Masyaawohhh cuwantek sekaliiiiii??????,0
Astaghfirullah. aurat buuun.,0
Jirrr cantik bangeeettt,0
syuka liat bodynya @lucintaluna_manjalita sempurna melebo dr wanita asli..perfec walpun pasginya banyak yg di rubah,0
Rambutny gemes bgt,0
Pengen liat @lucintaluna_manjalita berhijab??,0
kayak moana ga sih,0
Jirr gw sbg cewe merasa insekyurr @widitriaa,0
Aurat ratu,0
Ratuu  ga boleh gituu nanti dimarah loh,0
MasyaAllah jikalau perempuan beneran pastilah ada urat malunya pke baju minim gitu buat tik tok,0
Mulus bgt dah ??,0
"Mba Luna kaya mahakaliii hihiii,tpii makin cantik loh????",0
"Apa yg terjadi saat ini adalah akibat dari masa lalu , image yg di bangun di masyarakat saat ini akibat dari media tv di masa lalu bahwa seseorang yg baik dan yg tidak baik adalah akibat dari media tv di masalalu.",0
Semoga diberi hidayah..,0
Wajahnya disney bangettt cantik??,0
Wow inspirasi ni @klaraginalaurensa ??,0
Cantik yg pake topi...,0
Manusia Yg Gk Bersyukur Apa Yg ALLAH Ciptakan ??,0
Ituloh mirip yg di disney anak kecil ktmu dipantai rambutnya mirip kaya gtu juga baju kuning ??,0
Yg ngevideoin bikin pusing,0
Seperti barbie??,0
Bner2 sempurna??,0
Cantik nya anak.bapak??????????????,0
Buat Abg2 yg di belakang yg lagi melongo...sabar ya bang...itu adl cobaan...??????,0
kak lucita ..angkat aku sbg asisten rumah tangga kamu kak??,0
Ngusap dada aja deh,0
Cantik bgt astagaaaaa,0
aduh Barbie ??,0
Cantikkkkk....?????? Entertain bgtt,0
Ratu mengumbar aurad tobat tobat,0
Rambutnya gk berat?,0
Ingat jngn smpai akunnya di tutup hahahha,0
Body gua kalah body gua kalah dah,0
Wuihh teh cupi kurusan??,0
Sebenarnya saya suka kmu fans kmu.tpi cara begini sumpah gue ga suka..terlalu murahan dimata semua masyarakat.kalau mau cari duit cari peminat untuk apa korbankan maruah diri ditontonin semua manusia diseluruh dunia.lebih baik jual diri dri pada buka diri dimuka umum..jual diri tersembunyi dikamar sama orng tpi begini kau lakukan.maruah diri lu dimna??????.,1
bcot,1
"Ni pakai baju atau gk,neng",1
Pake BH doang ga sih ini?,1
matap bh nya,1
Wah sy kok gagal fokus..??,1
"Enak di entot nh, smpai crot crot",1
Emba makin cantiiiiiiik aq jadi pingin jadi pcr nya,1
Ngak patut d contoh...??,1
Itu asli atau busa,1
Bulat dan kencang ??????,1
"Wouw seksi amat non, astagfirullah",1
Batok kelapanya kegedean pok ??,1
Kok saia fokus ke 2 mangkok ya,1
Pngen lah pluk ayu ini,1
Salfok,1
"Wowww,indah sungguh dada km nengting2...",1
Perek,1
Bunder,1
Susunya,1
Tetew,1
kk tetek nya kok gk d lihatin,1
Mirip lucinta,1
Tembem yg bawah nya??,1
Mirip lucita luna??,1
Ngiler jadi Pennnnn,1
Kok dandanannya kok mirip lucintaluna,1
Tembem kali memek kau,1
Masih kurusan saya kali ya,1
Nie orang makin hri makin kacauuuu????????,1
Liat ini aqu mkin geregetan??????,1
Cuppang mekke??,1
Rambutnya kyk orgil,1
Wah seksi,1
Seksi,1
Kirain lucinta luna wkek,1
Maksa kali gaya nya wak,1
Ayu MLM ini LG sdng apa dirimu,1
"Astaghfirullah, belahan Miss ""V"" nya menggoda iman.",1
Koq pinggul nya mirip kayak kak @lucintaluna Ya.. Bohayy manjalitahh gituhhh kak @ayutingting92,1
Agak gemuk kan yak??,1
Tembem??,1
Kurang cocok....,1
Ndeso??,1
Di jilat bawah nya enak betul sumpah,1
setelah itu narix d kelilingi penari baxak...kayakx seru....,1
Terlalu montok sayang,1
Auto zoom hahaaaaa,1
Mba ayu Kya orang gila hahaha,1
Aaduhhh seksi nya neng yu,1
Kurang lama;(,1
Boleh ga di cium ketek nya ??,1
Kok besar sebelah ????,1
Bergetar seisi bumi ????,1
"Ada yang montoong,tapi bukan durian.. ????????",1
????????mantapppp cucunya,1
Tegantuntung tapi bukan asamara.,1
Getarr??,1
Pgn disapa tante????,1
Kok nambah kecil ya,1
Goyang geter boom??,1
tumpah,1
Gede ini??,1
Getong sebelah??,1
"Temenin chatingan si kak, bete banget gak ada yang chat????",1
Itu anu nya mana,1
Bulat sempurna,1
Mengundang syahwat lelakki kamu mah. Dosa tau ??,1
Hot banget ni neng cupisex??????,1
gede banget yaa ?????? @cupitagobas19,1
kurang lama,1
Liat yang gratisan mending kesini aja ga usah ke club mahal????????,1
"Sing aku tunggu tunggu,,, ??????",1
Besar sebelah kiri gak sih.....,1
Jgn tinggi2 Cup,1
Kecil ah segitu mah,1
gede sih tp implan,1
asli apa nggak itu cupita,1
Ijin zoom kak??,1
bujug gw lg plototin malah kjedot tt,1
Kendorrr,1
Gede banget.... Tulisan tiktoknya,1
Open BO,1
Beli baju kayak gitu dimana ya,1
Ituu dadanya lucu bgt kaa bntuknya,1
Bujuug bergetar delocious pasti ??,1
Asa Gede Sabelah teh . .,1
Kok tambah kurus aja neng??,1
Yang panjang donk kak,1
PASANGAN SUSAH DI AJAK WIKWIK ??SEMPROTT PARFUM SANGX AOUTO NGAJAK WIKWIK,1
Kendur ga si,1
Buat ngocok kontol nenen nya enak tuh,1
Tangannya lembek,1
Kak cupi.. Cucu nya beli.,1
"Suatu hari, aku berharap mimpiku menjadi kenyataan dan aku akan bangun di sebelahmu. Sampai saat itu, selamat malam. """,1
Basicnya penyanyi tapi gapernah rilis lagu lagi malah kek begini kak? @cupitagobas19 dahlah kita kawin aja ??,1
Anjir bibirnya klo ciuman mantep bngt kyanya??,1
Kak susunya udah kecilan,1
Pasti rasanya seger bgt,1
Gede sebelah ??,1
Gdean kanan 4 kg,1
Gede sebelah pas ngasih ganjelan gak di timbang dulu??,1
Makin hari makin buleett,1
Ketek,1
Tante culik aku dong,1
nenen nya besar sebelah,1
Yg kiri lebih big,1
Enakan yg kecil tapi goyangannya mantap??,1
Ku suka yang besar besar ????,1
Sebelah kiri lebih gede,1
"Kenapa ini ada apa,kok jadi lebih keliatan gede sebelah nya??",1
Gede ??,1
Gede sebelah,1
Eh pada kebayang gak put*ing nya ??,1
Croott...croott..croott,1
Gede sebelah anjrot,1
Pngn,1
tokedpedia memang menggoda??????,1
kok kayak kecacingan????,1
tt nya di perut,1
Kenapa besar sebelah dik,1
Palsu ah,1
Apakah isinya bansos??,1
cewe pengen di wik wik itu mah,1
Kenapa harus di pegangin kalo nunduk?,1
Kecilin dikit cup,1
Sampahh,1
Ga bosen lah lihat tete cupi terus,1
Rujit ah... Bau tarasi??,1
Op bgt tt nya,1
Gede sebelah yaa??,1
Pengen pegang??,1
Fokus ke gunung kembar????,1
Gagal fokus ini mah,1
kendorrr??,1
Pas untuk di jepit,1
gede sebelah weh ??,1
Meledakss bosque,1
Apa tidak berat,1
Siliconnya pecah sebelah....,1
Gede sebelah ya,1
Gak kuat liatnya,1
Getaranya kurang mantap,1
Besar gtu,1
Anjay mahluk apa ini,1
Ga pamer TT ga epyepe,1
Yg 1 nya kelebihan angin tu jadi gede sebelah,1
Ky gede sebelah??,1
sengketa posisi yg enak,1
Berat sebelah kah?,1
"mohon maaf belum pernah megang sebesar itu, kepengen dah??",1
Ah goyang,1
Gde juga,1
Ga berat itu bawa2nya?,1
